Position,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Coventry City,21,14,5,2,52,22,30,47,2.24,42.2,21.8,20.4,0.97,W W L D W,29837,Brandon Thomas-Asante - 10,Carl Rushworth,
2,Middlesbrough,21,12,6,3,33,22,11,42,2.0,23.7,19.8,3.9,0.19,L W W W W,26557,Morgan Whittaker - 8,Solomon Brynn,
3,Preston,21,9,8,4,29,22,7,35,1.67,24.2,28.6,-4.4,-0.21,D W D D W,17465,Daniel Jebbison - 5,Daniel Iversen,
4,Millwall,21,10,5,6,25,29,-4,35,1.67,27.7,24.6,3.0,0.15,W W W D L,16416,Femi Azeez - 6,Max Crocombe,
5,Ipswich Town,21,9,7,5,35,22,13,34,1.62,34.4,19.1,15.3,0.73,L D W W L,28551,Jaden Philogene Bidace - 7,Christian Walton,
6,Hull City,21,10,4,7,36,35,1,34,1.62,29.4,37.3,-7.8,-0.37,L W L W W,20817,Joe Gelhardt - 10,Ivor Pandur,
7,Stoke City,21,10,3,8,28,20,8,33,1.57,23.2,26.0,-2.7,-0.13,W L L L W,25534,Sorba Thomas - 8,Viktor Johansson,
8,Leicester City,21,8,7,6,30,27,3,31,1.48,25.1,30.2,-5.1,-0.24,L L W D W,29677,Jordan James - 5,Jakub Stolarczyk,
9,QPR,21,9,4,8,28,33,-5,31,1.48,28.0,25.0,3.0,0.14,W L W W L,16523,Rumarn Burrell - 9,Paul Nardi,
10,Southampton,21,8,6,7,35,30,5,30,1.43,37.5,28.2,9.3,0.44,W L W W L,28358,Adam Armstrong - 11,Gavin Bazunu,
11,Bristol City,21,8,6,7,28,24,4,30,1.43,29.3,27.9,1.4,0.06,L W L D L,23231,"Scott Twine, Emil Riis Jakobsen... - 6",Radek Vítek,
12,Derby County,21,8,6,7,30,29,1,30,1.43,21.4,26.3,-4.9,-0.23,W L L D W,28074,Carlton Morris - 10,Jacob Widell Zetterström,
13,Birmingham City,21,8,5,8,30,26,4,29,1.38,30.6,21.1,9.5,0.45,D W L L D,27113,Jay Stansfield - 8,James Beadle,
14,Watford,21,7,8,6,30,28,2,29,1.38,28.5,22.9,5.6,0.27,D L W D D,18336,"Imran Louza, Luca Kjerrumgaard - 6",Egil Selvik,
15,Wrexham,21,6,10,5,26,25,1,28,1.33,25.5,30.1,-4.5,-0.22,W D D L D,10725,Kieffer Moore - 8,Arthur Okonkwo,
16,West Brom,21,8,4,9,25,28,-3,28,1.33,25.3,24.4,0.9,0.04,D W L L W,23859,Aune Heggebø - 8,Joshua Griffiths,
17,Charlton Ath,20,6,6,8,20,26,-6,24,1.2,20.2,27.9,-7.7,-0.39,L L L L D,20754,Sonny Carey - 5,Thomas Kaminski,
18,Sheffield Utd,21,7,2,12,25,31,-6,23,1.1,31.4,25.8,5.6,0.27,W W W D L,27393,"Tyrese Campbell, Callum O'Hare - 5",Michael Cooper,
19,Swansea City,21,6,5,10,22,29,-7,23,1.1,17.1,25.8,-8.8,-0.42,L L W W L,15777,Žan Vipotnik - 8,Lawrence Vigouroux,
20,Blackburn,20,6,4,10,20,26,-6,22,1.1,27.9,23.0,5.0,0.24,L D D D L,14069,Andri Guðjohnsen - 6,Balázs Tóth,
21,Portsmouth,20,5,5,10,17,27,-10,20,1.0,22.1,28.0,-5.9,-0.29,W L L L W,20155,Adrian Segecic - 4,Nicolas Schmid,
22,Oxford United,21,4,7,10,22,30,-8,19,0.9,22.4,28.2,-5.8,-0.27,D W L D L,11089,Will Lankshear - 5,Jamie Cumming,
23,Norwich City,21,4,5,12,24,34,-10,17,0.81,28.8,37.4,-8.7,-0.41,D W L D W,25807,"Josh Sargent, Jovon Makama - 6",Vladan Kovačević,
24,Sheffield Weds,20,1,6,13,15,40,-25,-9,-0.45,21.0,37.6,-16.6,-0.79,L L L D L,23603,"Barry Bannan, Charlie McNeill - 3",Ethan Horvath,18-point deduction 1
