Position,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,15,10,3,2,28,9,19,33,2.2,25.4,9.3,16.1,1.07,D W D W L,60168,"Leandro Trossard, Viktor Gyökeres... - 4",David Raya,
2,Manchester City,15,10,1,4,35,16,19,31,2.07,29.1,15.8,13.3,0.89,W L W W W,52373,Erling Haaland - 15,Gianluigi Donnarumma,
3,Aston Villa,15,9,3,3,22,15,7,30,2.0,16.0,20.4,-4.4,-0.29,W W W W W,41503,"Emi Buendía, Donyell Malen - 4",Emiliano Martínez,
4,Crystal Palace,15,7,5,3,20,12,8,26,1.73,24.3,17.3,7.0,0.47,D W L W W,24982,Jean-Philippe Mateta - 7,Dean Henderson,
5,Chelsea,15,7,4,4,25,15,10,25,1.67,24.7,18.7,6.1,0.4,W W D L D,39619,Pedro Neto - 5,Robert Sánchez,
6,Manchester Utd,15,7,4,4,26,22,4,25,1.67,26.8,19.8,7.0,0.47,D L W D W,74011,Bryan Mbeumo - 6,Senne Lammens,
7,Everton,15,7,3,5,18,17,1,24,1.6,18.5,19.7,-1.2,-0.08,W W L W W,52099,"Kiernan Dewsbury-Hall, Iliman Ndiaye - 4",Jordan Pickford,
8,Brighton,15,6,5,4,25,21,4,23,1.53,23.5,19.3,4.1,0.28,D W W L D,31448,Danny Welbeck - 7,Bart Verbruggen,
9,Sunderland,15,6,5,4,18,17,1,23,1.53,13.1,20.8,-7.7,-0.52,D L W D L,45798,Wilson Isidor - 4,Robin Roefs,
10,Liverpool,15,7,2,6,24,24,0,23,1.53,24.1,17.7,6.4,0.42,L L W D D,60346,Hugo Ekitike - 5,Alisson,
11,Tottenham,15,6,4,5,25,18,7,22,1.47,14.8,19.7,-4.9,-0.33,D L L D W,60984,Richarlison - 6,Guglielmo Vicario,
12,Newcastle Utd,15,6,4,5,21,19,2,22,1.47,20.6,16.8,3.8,0.25,L W W D W,52143,"Bruno Guimarães, Nick Woltemade - 5",Nick Pope,
13,Bournemouth,15,5,5,5,21,24,-3,20,1.33,20.8,19.4,1.4,0.09,L D L L D,11179,Antoine Semenyo - 6,Đorđe Petrović,
14,Brentford,15,6,1,8,21,24,-3,19,1.27,21.8,19.4,2.4,0.16,W L W L L,17064,Thiago - 11,Caoimhín Kelleher,
15,Fulham,15,5,2,8,20,24,-4,17,1.13,14.9,19.4,-4.4,-0.3,L W W L L,27081,Harry Wilson - 4,Bernd Leno,
16,Leeds United,15,4,3,8,19,29,-10,15,1.0,19.8,21.6,-1.8,-0.12,L L L W D,36755,"Dominic Calvert-Lewin, Lukas Nmecha - 4",Lucas Perri,
17,Nott'ham Forest,15,4,3,8,14,25,-11,15,1.0,17.2,22.4,-5.1,-0.34,W W L W L,30413,Morgan Gibbs-White - 3,Matz Sels,
18,West Ham,15,3,4,8,17,29,-12,13,0.87,15.3,25.1,-9.8,-0.65,W D L D D,62455,"Callum Wilson, Jarrod Bowen - 4",Alphonse Areola,
19,Burnley,15,3,1,11,16,30,-14,10,0.67,12.0,30.5,-18.5,-1.23,L L L L L,21212,Zian Flemming - 5,Martin Dúbravka,
20,Wolves,15,0,2,13,8,33,-25,2,0.13,13.3,22.9,-9.6,-0.64,L L L L L,30014,"Hwang Hee-chan, Santiago Bueno... - 1",Sam Johnstone,
